ID,DataTime,Guid,CustomerConsumeID,CustomerConsumeNum,ObjectType,ObjectID,ObjectName,Brand,Fit,Spec,StockID,StockName,UnitPrice,Qty,Discount,TotalPrice,Frequency,DetailType,CarOwnerPackagesID,BranchStoreID,License
211,2017/05/22 17:03:41,e337276e0bf6484b9386a77b01192969,29,KHXS20170522001017,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
212,2017/05/22 17:03:41,68829c1f01db4025b9e3a77b01192969,29,KHXS20170522001017,Article,30311,机油4千,,,,0,,170,1,100,170,0,,0,1,91371100MA3DDG6A9X
213,2017/05/22 17:03:59,731dbfb9de26493ea6bea77b01193f2c,28,KHXS20170522001016,Article,30319,空调滤,,,,0,,30,1,100,30,0,,0,1,91371100MA3DDG6A9X
214,2017/05/22 17:03:59,488c300a5e03439db6d0a77b01193f2c,28,KHXS20170522001016,Article,30314,空滤,,,,0,,40,1,100,40,0,,0,1,91371100MA3DDG6A9X
215,2017/05/22 17:03:59,4b6cf07fbe064e54b476a77b01193f2c,28,KHXS20170522001016,Article,30341,一升防冻液,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
216,2017/05/22 17:03:59,01999957126b4de8b210a77b01193f2c,28,KHXS20170522001016,Article,30336,刹车片,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
217,2017/05/22 17:03:59,8a14c15a8d144b91af4da77b01193f2c,28,KHXS20170522001016,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
218,2017/05/22 17:03:59,3eed068bfa3c4a73a2f9a77b01193f2c,28,KHXS20170522001016,Article,30312,机油5千,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
219,2017/05/22 17:04:21,87d47a57670e49438135a77b01195850,27,KHXS20170522001015,Article,30340,进气软管,,,,0,,30,1,100,30,0,,0,1,91371100MA3DDG6A9X
220,2017/05/22 17:04:21,0f4e6d5083314318a4efa77b01195850,27,KHXS20170522001015,Article,30335,发动机支架,,,,0,,300,1,100,300,0,,0,1,91371100MA3DDG6A9X
221,2017/05/22 17:04:41,c6625bbecd254f988fb2a77b01197090,26,KHXS20170522001014,Article,30319,空调滤,,,,0,,30,1,100,30,0,,0,1,91371100MA3DDG6A9X
222,2017/05/22 17:04:41,12301a9fc9c949f68518a77b01197090,26,KHXS20170522001014,Article,30314,空滤,,,,0,,40,1,100,40,0,,0,1,91371100MA3DDG6A9X
223,2017/05/22 17:04:41,22744b5a93ed4769b2d4a77b01197090,26,KHXS20170522001014,Article,30339,变速箱油,,,,0,,80,1,100,80,0,,0,1,91371100MA3DDG6A9X
224,2017/05/22 17:04:41,57712d9e215541eba418a77b01197090,26,KHXS20170522001014,Article,30338,节温器,,,,0,,100,1,100,100,0,,0,1,91371100MA3DDG6A9X
225,2017/05/22 17:04:41,37acaf9b6e66470c81e9a77b01197090,26,KHXS20170522001014,Article,30337,分油板,,,,0,,70,1,100,70,0,,0,1,91371100MA3DDG6A9X
226,2017/05/22 17:04:41,44a3ce4df4a2448bae4fa77b01197090,26,KHXS20170522001014,Article,30337,分油板,,,,0,,70,1,100,70,0,,0,1,91371100MA3DDG6A9X
227,2017/05/22 17:04:41,31d129ee967b4953812ba77b01197090,26,KHXS20170522001014,Article,30336,刹车片,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
228,2017/05/22 17:04:41,bfce0718e0d84bb69a93a77b01197090,26,KHXS20170522001014,Article,30336,刹车片,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
229,2017/05/22 17:04:41,bb7605413c8f4fb18e92a77b01197090,26,KHXS20170522001014,Article,30335,发动机支架,,,,0,,300,1,100,300,0,,0,1,91371100MA3DDG6A9X
230,2017/05/22 17:04:41,aa52c2d45a5141539faea77b01197090,26,KHXS20170522001014,Article,30334,球龙套,,,,0,,110,1,100,110,0,,0,1,91371100MA3DDG6A9X
235,2017/05/22 17:06:06,aacd8dac94174c4bbf5da77b0119d3b1,25,KHXS20170522001013,Article,30331,机滤,,,,0,,30,1,100,30,0,,0,1,91371100MA3DDG6A9X
236,2017/05/22 17:06:06,ad8345ea77f24d249121a77b0119d3b1,25,KHXS20170522001013,Article,30336,刹车片,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
237,2017/05/22 17:06:06,2ec35cee8edd430ab7e8a77b0119d3b1,25,KHXS20170522001013,Article,30318,机油9千,,,,0,,380,1,100,380,0,,0,1,91371100MA3DDG6A9X
238,2017/05/22 17:06:27,17ebda3177f04e31a088a77b0119ebdb,24,KHXS20170522001012,Article,30336,刹车片,,,,0,,220,1,100,220,0,,0,1,91371100MA3DDG6A9X
239,2017/05/22 17:06:27,4c326573424f442ea933a77b0119ebdb,24,KHXS20170522001012,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
240,2017/05/22 17:06:27,aa9c8e6036e14f1282e8a77b0119ebdb,24,KHXS20170522001012,Article,30311,机油4千,,,,0,,170,1,100,170,0,,0,1,91371100MA3DDG6A9X
241,2017/05/22 17:06:44,25dc1d82d8944869985ca77b011a0099,23,KHXS20170522001011,Article,30316,空调滤,,,,0,,60,1,100,60,0,,0,1,91371100MA3DDG6A9X
242,2017/05/22 17:06:44,be4cb68b571544b898b2a77b011a0099,23,KHXS20170522001011,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
243,2017/05/22 17:06:44,28a3b6528b9c4abf907ca77b011a0099,23,KHXS20170522001011,Article,30317,机油7千,,,,0,,280,1,100,280,0,,0,1,91371100MA3DDG6A9X
244,2017/05/22 17:06:58,696f083630154c29b90da77b011a1112,22,KHXS20170522001010,Article,30313,机滤,,,,0,,20,1,100,20,0,,0,1,91371100MA3DDG6A9X
245,2017/05/22 17:06:58,40c2406b05734b59b0b2a77b011a1112,22,KHXS20170522001010,Article,30317,机油7千,,,,0,,280,1,100,280,0,,0,1,91371100MA3DDG6A9X
